organism_name	requested_by
Abacopteris penangiana	chebi_origins
Abroma augusta	lotus
Abuta imene	lotus
Acacia homalophylla	lotus
Acacia karoo	lotus
Acacia pennata	chebi_origins
Acacia prismatica	lotus
Acacia simplicifolia	lotus
Acalypha marginata	lotus
Acanthella costata	lotus
Acanthella dendyi	lotus
Acanthella klethra	lotus
Acanthella vulgata	lotus
Acanthogorgia turgida	lotus
Acanthopanax henryi	chebi_origins
Acarnus bergquistae	lotus
Acarnus erithacus	lotus
Acarospora montana	lotus
Acaryochloris; Chlorogloeopsis n.a.	cyanometdb
Achillea arabica	lotus
Achillea cartilaginea	lotus
Achillea depressa	lotus
Achillea dracunculus	lotus
Achillea falcata	lotus
Achillea millefolium var. occidentalis	lotus
Achillea purpurea	lotus
Achillea schischkinii	lotus
Achillea spinulifolia	lotus
Achillea umbellata	lotus
Achyranthes aspera var. rubrofusca	lotus
Achyranthes fauriei	lotus
Achyrocline bogotensis	lotus
Aconitum altaicum	lotus
Aconitum falconeri	lotus
Aconitum fauriei	lotus
Aconitum jaluense var. glabrescens	lotus
Aconitum kojimae	lotus
Aconitum koreanum	lotus
Aconitum paniculatum	chebi_origins
Aconitum pseudohuiliense	lotus
Aconitum rubicundum	lotus
Aconitum soongoricum	lotus
Aconitum zuccarini	lotus
Acremonium neocaledoniae	lotus
Acremonium starrii	lotus
Acrospermum viticola	lotus
Actinidia chinensis var. hispida	lotus
Actinodaphne longifolia	lotus
Actinostemma paniculatum	lotus
Acyrthosiphon norvegicum	lotus
Adiantum lunulatum	lotus
Adocia	lotus
Aegiphila lhotskiana	lotus
Aeollanthus subacaulis var. linearis	lotus
Aequatorium verrucosum	lotus
Aetokthonos hydrillicola n.a.	cyanometdb
Aframomum pruinosum	lotus
Aframomum sulcatum	lotus
Africana	lotus
Agaricus bisporus var. bisporus (strain H97 / ATCC MYA-4626 / FGSC 10389)	bindingdb
Agarum asiaticum	lotus
Agastache formosana	lotus
Agathosma barosmaefolia	lotus
Agathosma eriantha	lotus
Agathosma thymifolia	lotus
Agave americana var. expansa	lotus
Agave angustifolia var. angustifolia	lotus
Agave atrovirens var. mirabilis	lotus
Agave lophantha	lotus
Agave maculata	lotus
Agave parryi huachucensis	lotus
Agave parryi var. huachucensis	lotus
Agave univittata	lotus
Agelanthus dodoneifolius	lotus
Agelas dendromorpha	lotus
Agelas linnaei	lotus
Ageratum tomentosum	lotus
Aglaia andamanica	chebi_origins,lotus
Aglaia duperreana	chebi_origins
Aglaia ponapensis	lotus
Aglaonema treubii	lotus
Agrostemma brachyloba	lotus
Agrostemma githago var. githago	lotus
Agrostemma gracilis	lotus
Agyrophora lyngei	lotus
Agyrophora scholanderi	lotus
Ailanthus malabarica	chebi_origins
Ainigmaptilon antarcticum	lotus
Ajuga integrifolia	lotus
Ajuga japonica	lotus
Ajuga laxmannii	lotus
Ajuga pantantha	lotus
Ajuga postii	lotus
Ajuga relicta	lotus
Ajuga salicifolia	lotus
Ajuga yezoensis	lotus
Alangium lamarckii	lotus
Alaria angusta	lotus
Albizia julibrissin var. mollis	lotus
Alcea ficifolia	lotus
Alchornea sidifolia	lotus
Alcyonium fauri	lotus
Alcyonium grandis	lotus
Alcyonium patagonicum	lotus
Alectoria japonica	lotus
Alectoria subsarmentosa	lotus
Alepidea longifolia	lotus
Alhagi canescens	chebi_origins
Allaeanthus zeylanicus	lotus
Allanblackia monticola	chebi_origins,lotus
Allographa cognata	lotus
Allographa elongata	lotus
Allographa vestitoides	lotus
Allophylus laevigatus	lotus
Alniaria japonica	lotus
Aloe buchlohii	lotus
Aloe dolomitica	lotus
Aloe duckeri	lotus
Aloe kefaensis	lotus
Aloe kirkii	lotus
Aloe lateritia var. graminicola	lotus
Aloe ortholopha	lotus
Aloe rugosifolia	lotus
Aloe secundiflora var. secundiflora	lotus
Aloe secundiflora var. tweediae	lotus
Aloe sobolifera	lotus
Aloe soutpansbergensis	lotus
Aloe spectabilis	lotus
Alpinia densespicata	lotus
Alsidium helminthochorton	lotus
Alstonia actinophylla	lotus
Alstonia coriacea	lotus
Alstonia costata	lotus
Alstonia mollis	lotus
Alstonia penangiana	lotus
Alstonia undulata	chebi_origins
Alternanthera maritima	chebi_origins,lotus
Alternanthera polygonoides	lotus
Alternaria senecionis	lotus
Althaea broussonetiifolia	lotus
Althaea narbonensis	lotus
Amathia pinnata	lotus
Amathia tortuosa	lotus
Amathia wilsoni	lotus
Ambassa hochstetteri	lotus
Amberboa ramosa	lotus
Amitermes papuanus	lotus
Ammodendron karelini	lotus
Amomum kravanh	lotus
Amomum pavieanum	lotus
Amoora rohituka	chebi_origins,lotus
Amphiachyris amoenum	lotus
Ampulliferina	lotus
Amsinckia douglasiana	lotus
Amsinckia eastwoodae	lotus
Amsinckia lunaris	lotus
Amsinckia lycopsioides	lotus
Amsinckia menziesii var. intermedia	lotus
Amsonia brevifolia	chebi_origins
Amyris sylvatica	lotus
Amyris texana	lotus
Anabaena crispa	lotus
Anabaena flos aquae	cyanometdb
Anabaena hallensis	cyanometdb
Anabaena n.a.	cyanometdb
Anabaena/Dolichospermum flos aquae	cyanometdb
Anabaena/Dolichospermum n.a.	cyanometdb
Anabaena; Aphanizomenon; Cylindrospermopsis; Lyngbya Anabaena]circinalis	cyanometdb
Anabaena; Cylindrospermopsis [Anabaena]circinalis	cyanometdb
Anabaena; Microcystis n.a.	cyanometdb
Anabaenopsis rippkae	lotus
Anacheilium kaustkyi	lotus
Anacystis nidulans	lotus
Anacystis; Chroococcus; Lyngbya; Nostoc; Spirulina n.a.	cyanometdb
Anaphalis araneosa	lotus
Anarthrophyllum andicolum	lotus
Ancorina geodides	lotus
Andrographis ceylanica	lotus
Andrographis neesiana	lotus
Andrographis wightiana	lotus
Anemonastrum crinitum	lotus
Anethum sowa	lotus
Angelica tenuisecta var. furcijuga	lotus
Angiopteris pruinosa	lotus
Anisacanthus virgularis	lotus
Annona atemoya	chebi_origins
Annona cherimolia	lotus
Annona foteida	chebi_origins
Annona impressivenia	lotus
Annulohypoxylon elevatidiscum	lotus
Annulohypoxylon multiforme var. multiforme	lotus
Anomalographis madeirensis	lotus
Anomianthus	lotus
Anthemis altissima	lotus
Anthemis brachycentra	lotus
Anthemis cot	lotus
Anthemis montana	lotus
Anthenea pentagonula	lotus
Antho graceae	lotus
Anthomastus bathyproctus	lotus
Anthoptilum kukenthali	lotus
Antidesma montanum var. montanum	lotus
Antithamnion plumula	lotus
Anzia americana	lotus
Anzia gracilis	lotus
Anzia semiteres	lotus
Apatococcus constipatus	lotus
Aphanizomenon catenatum	cyanometdb
Aphanizomenon flos aquae	cyanometdb
Aphanizomenon n.a.	cyanometdb
Aphanizomenon; Anabaena; Cylindrospermopsis; Planktothrix [Aphanizomenon]flos aquae	cyanometdb
Aphanizomenon; Cylindrospermopsis [Aphanizomenon]flos aquae	cyanometdb
Aphanocapsa n.a.	cyanometdb
Aphanothece; Spirulina; Synechococcus; Synechocystis n.a.	cyanometdb
Apiognomonia erythrostoma	lotus
Apiosphaeria nipponica	lotus
Aplidiopsis	lotus
Aplidiopsis confluata	lotus
Aplidiopsis ocellatus	lotus
Aplidium albicans	lotus
Aplidium altarium	lotus
Aplidium benhami	lotus
Aplidium caelestis	lotus
Aplidium californicum	lotus
Aplidium cyaneum	lotus
Aplidium haouarianum	lotus
Aplidium lobatum	lotus
Aplidium longithorax	lotus
Aplidium meridianum	lotus
Aplidium orthium	lotus
Aplidium pantherinum	lotus
Aplidium scabellum	lotus
Aplidium solidum	lotus
Aplidium tabascum	lotus
Aplidium uouo	lotus
Aplysilla glacialis	lotus
Aplysilla pallida	lotus
Aplysilla polyraphis	lotus
Aplysilla sulphurea	lotus
Apodachlyella completa	lotus
Aquilegia cultorum	lotus
Aquilegia microphylla	lotus
Arachniodes cornucervi	lotus
Arachniotus punctatus	lotus
Aralia elata var. elata	lotus
Arctomecon humile	lotus
Ardisia complanata	lotus
Ardisia kivuensis	lotus
Arecastrum romanzoffianum	lotus
Arecophila saccharicola	lotus
Arenaria filicaulis	lotus
Arenochalina	lotus
Argemone alba	lotus
Argemone polyanthemos	lotus
Argyrolobium variopile	lotus
Aria callophylla	lotus
Aria elegans	lotus
Aria obovata	lotus
Aria rostellata	lotus
Arichanna gaschkevitchii	lotus
Aristeguietia buddleaefolia	lotus
Aristeguietia glutinosa	lotus
Arnicratea grahamii	lotus
Arpia janeira	lotus
Arpia marginalis	lotus
Arrhenatherum longifolium	lotus
Artemisia albida	lotus
Artemisia ammaniana	lotus
Artemisia dentata	lotus
Artemisia filatovae	lotus
Artemisia glutinosa	lotus
Artemisia hispanica	lotus
Artemisia kulbadica	lotus
Artemisia loureiroi	lotus
Artemisia mollis	lotus
Artemisia obtusiloba var. glabra	lotus
Artemisia siversiana	lotus
Artemisia tenuis	lotus
Artemisia vulgaris var. vulgaris	lotus
Artemisina apollinis	lotus
Arthonia cinnabarina var. cinnabarina	lotus
Arthonia endlicheri	lotus
Arthrobotrys brochopagus	lotus
Arthrospira laxissima	lotus
Arthrospira spirulina	cyanometdb
Artomyces divaricatus	lotus
Asarum constrictum	lotus
Asarum dilatatum	lotus
Asarum fauriei takaoi	lotus
Asarum hatushimae	lotus
Ascochyta agropyrina	lotus
Ascochyta cypericola	lotus
Ascochyta hyalospora	lotus
Ascochyta lathyri	lotus
Ascochyta salicorniae	lotus
Ascochyta sonchi	lotus
Ascotricha amphitricha	lotus
Ascotricha sinuosae	lotus
Aseraggodes diringeri	lotus
Aspergillus aegyptiacus	lotus
Aspergillus albus	lotus
Aspergillus citricus	lotus
Aspergillus fonsecaeus	chebi_origins,lotus
Aspergillus nomius	lotus
Aspidella solitaria	lotus
Aspidosperma eburneum	lotus
Aspidosperma gomezianum	lotus
Aspidosperma nitidum	lotus
Aspidosperma obscurinervum	lotus
Aspilia silphioides	lotus
Asplenium foreziense	lotus
Asplenium trichomanes-ramosum	lotus
Asplenium viviparum	lotus
Asplenium wachaviense	lotus
Aster patagonicus	lotus
Aster salignus	lotus
Asterella angusta	lotus
Asterias rathbuni	lotus
Asterocapsa nidulans	lotus
Astomaea seselifolium	lotus
Astragalus ciceroides	lotus
Astragalus condensatus	lotus
Astragalus diversifolius	lotus
Astragalus huetii	lotus
Astragalus kadshorensis	lotus
Astragalus lagopoides	lotus
Astragalus massiliensis	lotus
Astragalus mongolicus	lotus
Astragalus thracicus	lotus
Astragalus tomentosus	lotus
Astragalus trojanus	lotus
Astragalus unifoliolatus	lotus
Astragalus uninodus	lotus
Astrosphaeriella papuana	lotus
Atadinus fallax	lotus
Atelopus oxyrhynchus	lotus
Athanasia linifolia	lotus
Athanasia pinnata	lotus
Athroisma proteiforme	chebi_origins,lotus
Athyrium crassicaule	lotus
Athyrium filix	lotus
Athyrium mesosorum	chebi_origins
Attalea princeps	lotus
Aucklandia costus	lotus
Aulosira fertilissima Ghose	cyanometdb
Austroeupatorium inulaefolium	lotus
Austrolycopodium aberdaricum	lotus
Austrolycopodium confertum	lotus
Austrolycopodium paniculatum	lotus
Austrotachardia acaciae	lotus
Avrainvillea longicaulis	lotus
Axinella bidderi	lotus
Axinella cylindratus	lotus
Axinella weltneri	lotus
Axinyssa digitata	lotus
Axinyssa isabela	lotus
Axinyssa mertoni	lotus
Axinyssa terpnis	lotus
Ayapana elata	lotus
Aïphanes aculeata	chebi_origins
Ba	lotus
Baccharis alaternoides	lotus
Baccharis bigelovii	lotus
Baccharis bolivensis	lotus
Baccharis brachylaenoides var. ligustrina	lotus
Baccharis confertifolia	lotus
Baccharis douglasii	lotus
Baccharis eggersii	lotus
Baccharis elaeagnoides	lotus
Baccharis gaudichaudiana	lotus
Baccharis gillesii	lotus
Baccharis gnidiifolia	lotus
Baccharis grandicapitulata	lotus
Baccharis hutchisonii	lotus
Baccharis intermedia	lotus
Baccharis leptocephala	lotus
Baccharis myrsinites	lotus
Baccharis obtusifolia	lotus
Baccharis peruviana	lotus
Baccharis phylicoides	lotus
Baccharis pteronioides	lotus
Baccharis rufescens	lotus
Baccharis scoparia	lotus
Baccharis sulcata	lotus
Baccharis thesioides	lotus
Baccharis vaccinioides	lotus
Baccharis vaccinoides	lotus
Baccharis varians	lotus
Baccharis venosa	lotus
Baccharoides lilacina	chebi_origins
Bacidia stipata	lotus
Bacillus hunanensis	lotus
Bahia schaffneri	lotus
Bahia schaffneri var. aristata	lotus
Balanites aegyptiacus	lotus
Balantiopsis rosea	lotus
Ballota saxatilis	lotus
Balsamita major	lotus
Baptisia australis var. minor	lotus
