identifier	np_pathway	slug	path
CHEBI:10106	POLYKETIDES	zearalenone	data/natural_products/polyketides/zearalenone.yaml
CHEBI:10276	ALKALOIDS	ergocryptine	data/natural_products/alkaloids/ergocryptine.yaml
CHEBI:131712	UNCLASSIFIED	shinorine	data/natural_products/unclassified/shinorine.yaml
CHEBI:131914	ALKALOIDS	violacein	data/natural_products/alkaloids/violacein.yaml
CHEBI:132426	POLYKETIDES	chondrochloren-a	data/natural_products/polyketides/chondrochloren-a.yaml
CHEBI:133127	AMINO_ACIDS_AND_PEPTIDES	lugdunin	data/natural_products/amino_acids_and_peptides/lugdunin.yaml
CHEBI:133763	POLYKETIDES	ywa1	data/natural_products/polyketides/ywa1.yaml
CHEBI:133787	POLYKETIDES	pyranonigrin-e	data/natural_products/polyketides/pyranonigrin-e.yaml
CHEBI:133852	POLYKETIDES	azanigerone-a	data/natural_products/polyketides/azanigerone-a.yaml
CHEBI:133919	ALKALOIDS	decarbamoylsaxitoxin	data/natural_products/alkaloids/decarbamoylsaxitoxin.yaml
CHEBI:134606	CARBOHYDRATES	toyocamycin	data/natural_products/carbohydrates/toyocamycin.yaml
CHEBI:134612	AMINO_ACIDS_AND_PEPTIDES	staphyloferrin-b	data/natural_products/amino_acids_and_peptides/staphyloferrin-b.yaml
CHEBI:135511	ALKALOIDS	rebeccamycin	data/natural_products/alkaloids/rebeccamycin.yaml
CHEBI:137562	TERPENOIDS	eremophilene	data/natural_products/terpenoids/eremophilene.yaml
CHEBI:138046	TERPENOIDS	sesterfisherol	data/natural_products/terpenoids/sesterfisherol.yaml
CHEBI:138165	TERPENOIDS	2-i-s-i-3-i-r-i-9-i-r-i-pristinol	data/natural_products/terpenoids/2-i-s-i-3-i-r-i-9-i-r-i-pristinol.yaml
CHEBI:138511	POLYKETIDES	piericidin-a	data/natural_products/polyketides/piericidin-a.yaml
CHEBI:139480	TERPENOIDS	em-o-em-methylkolavelool	data/natural_products/terpenoids/em-o-em-methylkolavelool.yaml
CHEBI:140173	AMINO_ACIDS_AND_PEPTIDES	malacidin-a	data/natural_products/amino_acids_and_peptides/malacidin-a.yaml
CHEBI:140174	AMINO_ACIDS_AND_PEPTIDES	malacidin-b	data/natural_products/amino_acids_and_peptides/malacidin-b.yaml
CHEBI:140434	ALKALOIDS	3-z-2-isocyanoethenyl-indole	data/natural_products/alkaloids/3-z-2-isocyanoethenyl-indole.yaml
CHEBI:140442	ALKALOIDS	12-em-epi-em-fischerindole-u	data/natural_products/alkaloids/12-em-epi-em-fischerindole-u.yaml
CHEBI:140649	SHIKIMATES_AND_PHENYLPROPANOIDS	paerucumarin	data/natural_products/shikimates_and_phenylpropanoids/paerucumarin.yaml
CHEBI:140651	UNCLASSIFIED	rhabduscin	data/natural_products/unclassified/rhabduscin.yaml
CHEBI:141338	POLYKETIDES	sporothriolide	data/natural_products/polyketides/sporothriolide.yaml
CHEBI:141380	POLYKETIDES	indanomycin	data/natural_products/polyketides/indanomycin.yaml
CHEBI:142639	POLYKETIDES	nectriapyrone	data/natural_products/polyketides/nectriapyrone.yaml
CHEBI:142799	POLYKETIDES	nectriapyrone-d	data/natural_products/polyketides/nectriapyrone-d.yaml
CHEBI:142842	UNCLASSIFIED	andrastin-a	data/natural_products/unclassified/andrastin-a.yaml
CHEBI:144441	FATTY_ACIDS	triacsin-c	data/natural_products/fatty_acids/triacsin-c.yaml
CHEBI:145066	POLYKETIDES	stemphyloxin-ii	data/natural_products/polyketides/stemphyloxin-ii.yaml
CHEBI:145070	POLYKETIDES	compound-7	data/natural_products/polyketides/compound-7.yaml
CHEBI:145071	POLYKETIDES	compound-9	data/natural_products/polyketides/compound-9.yaml
CHEBI:145105	UNCLASSIFIED	asperphenamate	data/natural_products/unclassified/asperphenamate.yaml
CHEBI:145895	ALKALOIDS	i-s-i-i-s-i-2-5-di-em-p-em-hydroxybenzyl-piperazine	data/natural_products/alkaloids/i-s-i-i-s-i-2-5-di-em-p-em-hydroxybenzyl-piperazine.yaml
CHEBI:146153	UNCLASSIFIED	ilicicolin-b	data/natural_products/unclassified/ilicicolin-b.yaml
CHEBI:146194	TERPENOIDS	15-acetyldeoxynivalenol	data/natural_products/terpenoids/15-acetyldeoxynivalenol.yaml
CHEBI:149660	SHIKIMATES_AND_PHENYLPROPANOIDS	atromentin	data/natural_products/shikimates_and_phenylpropanoids/atromentin.yaml
CHEBI:152052	POLYKETIDES	agnestin-a	data/natural_products/polyketides/agnestin-a.yaml
CHEBI:15353	CARBOHYDRATES	blasticidin-s	data/natural_products/carbohydrates/blasticidin-s.yaml
CHEBI:155910	TERPENOIDS	aculene-d	data/natural_products/terpenoids/aculene-d.yaml
CHEBI:155912	TERPENOIDS	aculene-c	data/natural_products/terpenoids/aculene-c.yaml
CHEBI:156056	TERPENOIDS	aculene-b	data/natural_products/terpenoids/aculene-b.yaml
CHEBI:156057	TERPENOIDS	aculene-a	data/natural_products/terpenoids/aculene-a.yaml
CHEBI:156148	UNCLASSIFIED	ascofuranone	data/natural_products/unclassified/ascofuranone.yaml
CHEBI:156219	UNCLASSIFIED	ascochlorin	data/natural_products/unclassified/ascochlorin.yaml
CHEBI:156291	POLYKETIDES	oviedomycin	data/natural_products/polyketides/oviedomycin.yaml
CHEBI:156292	ALKALOIDS	tilivalline	data/natural_products/alkaloids/tilivalline.yaml
CHEBI:156298	POLYKETIDES	aurafuron-a	data/natural_products/polyketides/aurafuron-a.yaml
CHEBI:156300	SHIKIMATES_AND_PHENYLPROPANOIDS	legioliulin	data/natural_products/shikimates_and_phenylpropanoids/legioliulin.yaml
CHEBI:156301	POLYKETIDES	auricin	data/natural_products/polyketides/auricin.yaml
CHEBI:156303	AMINO_ACIDS_AND_PEPTIDES	colibactin	data/natural_products/amino_acids_and_peptides/colibactin.yaml
CHEBI:156313	ALKALOIDS	erdasporine-a	data/natural_products/alkaloids/erdasporine-a.yaml
CHEBI:156314	ALKALOIDS	erdasporine-b	data/natural_products/alkaloids/erdasporine-b.yaml
CHEBI:156315	ALKALOIDS	erdasporine-c	data/natural_products/alkaloids/erdasporine-c.yaml
CHEBI:156318	POLYKETIDES	alternapyrone	data/natural_products/polyketides/alternapyrone.yaml
