standard_inchi_key	identifier	label	antimicrobial_class	slug	corpus_commit
AAKDPDFZMNYDLR-XZBKPIIZSA-N	CHEBI:166564	N-methyl-1-deoxynojirimycin	ANTIVIRAL	n-methyl-1-deoxynojirimycin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AALISTBXLBQUEH-UHFFFAOYSA-N	CHEBI:27494	sophoraisoflavanone A	ANTIMICROBIAL_UNSPECIFIED	sophoraisoflavanone-a	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ABBQGOCHXSPKHJ-WUKNDPDISA-N	CHEBI:8464	prontosil	ANTIBACTERIAL	prontosil	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ABCGFHPGHXSVKI-LWQDQPMZSA-O	CHEBI:37447	meso-tetrakis(N-methyl-4-pyridyl)porphine(4+)	ANTIVIRAL	meso-tetrakis-n-methyl-4-pyridyl-porphine-4	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEBI:3238	butenafine	ANTIFUNGAL	butenafine	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ABLZXFCXXLZCGV-UHFFFAOYSA-N	CHEBI:44976	phosphonic acid	ANTIFUNGAL	phosphonic-acid	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ABVRVIZBZKUTMK-JSYANWSFSA-M	CHEBI:85264	potassium clavulanate	ANTIBACTERIAL	potassium-clavulanate	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ACGUYXCXAPNIKK-UHFFFAOYSA-N	CHEBI:5693	hexachlorophene	ANTIBACTERIAL	hexachlorophene	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ACMXQHFNODYQAT-UHFFFAOYSA-N	CHEBI:81797	cyflufenamid	ANTIFUNGAL	cyflufenamid	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ACTOXUHEUCPTEW-KWBWCIJSSA-N	CHEBI:85260	spiramycin I	ANTIBACTERIAL	spiramycin-i	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ACTUUECIBHHYLY-DYKIIFRCSA-N	antibioticmech:aro-e690d68430	halolitoralin C	ANTIBACTERIAL	halolitoralin-c	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ACYXXCRNFRQHBB-RXUNMRDHSA-N	CHEBI:134411	N-palmitoyl-S-[2,3-bis(palmitoyloxy)propyl]-Cys-Ser-Lys-Lys-Lys-Lys	ANTIMICROBIAL_UNSPECIFIED	n-palmitoyl-s-2-3-bis-palmitoyloxy-propyl-cys-ser-lys-lys-lys-lys	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ADCDIHNCUQOKFP-SVEJIMAYSA-N	CHEBI:75093	aclacinomycin Y	ANTIMICROBIAL_UNSPECIFIED	aclacinomycin-y	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ADCDIHNCUQOKFP-SVEJIMAYSA-N	CHEBI:77985	aclacinomycin Y zwitterion	ANTIMICROBIAL_UNSPECIFIED	aclacinomycin-y-zwitterion	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ADFWQBGTDJIESE-UHFFFAOYSA-N	CHEBI:2696	anacardic acid	ANTIBACTERIAL	anacardic-acid	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ADPBTBPPIIKLEH-UHFFFAOYSA-N	CHEBI:141340	altenusin	ANTIFUNGAL	altenusin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AEIGTUFAPRNEKB-YUELXQCFSA-N	CHEBI:65776	4β,14-dihydroxy-6α,7β-H-1(10)-cadinene	ANTIVIRAL	4β-14-dihydroxy-6α-7β-h-1-10-cadinene	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AENZSPQGLJVLND-VWYCJHECSA-N	CHEBI:141338	sporothriolide	ANTIFUNGAL	sporothriolide	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AEOCXXJPGCBFJA-UHFFFAOYSA-N	CHEBI:4885	ethionamide	ANTIMYCOBACTERIAL	ethionamide	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AEUTYOVWOVBAKS-UWVGGRQHSA-N	CHEBI:4877	ethambutol	ANTIMYCOBACTERIAL	ethambutol	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AEZBWGMXBKPGFP-KIUAEZIZSA-M	CHEBI:172948	cabotegravir sodium	ANTIVIRAL	cabotegravir-sodium	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AFJYYKSVHJGXSN-XHKIUTQPSA-N	antibioticmech:aro-b2857d2845	selamectin	ANTIBACTERIAL	selamectin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AFZFFLVORLEPPO-UVYJNCLZSA-N	CHEBI:560555	cefditoren pivoxil	ANTIBACTERIAL	cefditoren-pivoxil	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AGKSTYPVMZODRV-UHFFFAOYSA-N	CHEBI:81767	imibenconazole	ANTIFUNGAL	imibenconazole	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
