chebi_id	species_text	species_accession	component_text	strain_text	source_accession	comments
CHEBI:47	Arcangelisia gusanlung	432629	stem		21500777	MeOH extract of air-dried and smashed stems
CHEBI:75	Withania somnifera	126910			Phytochemical Dictionary Second Edition,Taylor and Francis, (1999), Chapter 25	
CHEBI:100	Glycyrrhiza uralensis	74613	root		22074222	Dried and ground roots extracted with supercritical CO2 with 5% EtOH as modifier
CHEBI:113	Homo sapiens	9606	Urine		8651468	
CHEBI:115	Baphia nitida	162666			10.1016/0031-9422(92)80059-N	
CHEBI:212	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:514	Anaxagorea luzonensis	235716			10959592	
CHEBI:520	Centella asiatica	48106			MTBLS175	
CHEBI:614	Centella asiatica	48106			MTBLS175	
CHEBI:636	Garcinia mangostana	58228	pericarp		24555285	
CHEBI:669	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:766	Homo sapiens	9606	urine		2994907	
CHEBI:766	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:776	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:776	Homo sapiens	9606	urine		10728690	
CHEBI:776	Homo sapiens	9606	blood serum		14569192	
CHEBI:776	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:783	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:798	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:847	Lathyrus odoratus	3859			10.1016/S0031-9422(00)80519-1	
CHEBI:929	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:929	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:955	Panax japonicus var. major	45211	root		21417387	Ethanolic extract of dried and pulverized roots
CHEBI:969	Aquilaria sinensis	210372	wood		27223280	Found in agarwood.
CHEBI:994	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:995	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:1109	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:1109	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:1148	Chlamydomonas reinhardtii	3055			25515814	
CHEBI:1148	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:1156	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:1162	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:1171	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:1189	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:1189	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:1228	Gentianopsis paludosa	50802	whole plant		19107824	
CHEBI:1228	Swertia mussotii	137888			19645233	
CHEBI:1233	Escherichia coli	562			21988831	
CHEBI:1235	Escherichia coli	562			21988831	
CHEBI:1294	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:1296	Aspergillus fumigatus	746128	Whole Organism		MTBLS1636	
CHEBI:1296	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:1296	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:1307	Cheilocostus speciosus	49577	rhizome		28480734	
CHEBI:1307	Epidendrum madsenii	1401836			17691046	
CHEBI:1307	Euphorbia guyoniana	1138347	root		17337022	
CHEBI:1307	Euphorbia peplus	38846	latex		10691725	
CHEBI:1307	Ficus carica	3494	leaf		17265335	
CHEBI:1307	Psychotria viridis	189196	leaf		28640347	
CHEBI:1307	Sideritis discolor	403019			19535115	
CHEBI:1307	Sparganium stoloniferum	203643	rhizome		20422359	
CHEBI:1387	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:1406	Hoppea dichotoma	84897			11190384	
CHEBI:1427	Escherichia coli	562			21988831	
CHEBI:1457	Arthrospira platensis	118562			34399181	Species also known as Spirulina platensis.
CHEBI:1457	Gracilaria vermiculophylla	2608709			34399181	
CHEBI:1457	Palmaria palmata	2822			34399181	
