chebi_id	name	definition	stars	standard_inchi_key	smiles
CHEBI:7	(+)-car-3-ene	A car-3-ene (3,7,7-trimethylbicyclo[4.1.0]hept-3-ene) that has S configuration at position 1 and R configuration at position 6.	3	BQOFWKZOCNGFEC-BDAKNGLRSA-N	[H][C@@]12CC=C(C)C[C@]1([H])C2(C)C
CHEBI:8	(+)-8-hydroxycalamenene	A sesquiterpenoid consisting of 5,6,7,8-tetrahydronaphthalen-1-ol having two methyl substituents at the 3- and 8-positions, an isopropyl substituent at the 5-position and (+)-(5R,8S)-configuration.	3	FDMKIGKOMRSCAW-NWDGAFQWSA-N	Cc1cc(O)c2c(c1)[C@@H](C(C)C)CC[C@@H]2C
CHEBI:20	(+)-camphene	A camphene (2,2-dimethyl-3-methylenebicyclo[2.2.1]heptane) that has R configuration at position 1 and S configuration at position 4.	3	CRPUJAZIXJMDBK-DTWKUNHWSA-N	C=C1[C@H]2CC[C@H](C2)C1(C)C
CHEBI:25	(+)-iridodial	An iridodial that is (1R,2R)-2-[(2R)-1-oxopropan-2-yl]cyclopentanecarbaldehyde substituted by a methyl group at position 2 (2S-stereoisomer).	3	HMCYXRFNNOPPPR-AXTSPUMRSA-N	[H][C@@]1(C=O)[C@@H](C)CC[C@]1([H])[C@@H](C)C=O
CHEBI:26	(+)-iridodial lactol	An iridoid monoterpenoid that is 1,4a,5,6,7,7a-hexahydrocyclopenta[c]pyran substituted by methyl groups at positions 4 and 7 and a hydroxy group at position 1 (the 1R,4aS,7S,7aR-stereoisomer).	3	OJGPEAXUHQRLNC-JZKKDOLYSA-N	[H][C@]12[C@H](O)OC=C(C)[C@@]1([H])CC[C@@H]2C
CHEBI:28	(R)-linalool	The (R)-enantiomer of linalool.	3	CDOSHBSSFJOMGT-JTQLQIEISA-N	C=C[C@](C)(O)CCC=C(C)C
CHEBI:31	(+)-menthone	A menthone that is cyclohexanone substituted by a methyl and an isopropyl group at positions 5 and 2 respectively (the 2R,5S-stereoisomer).	3	NFLGAXVYCFJBMK-DTWKUNHWSA-N	CC(C)[C@H]1CC[C@H](C)CC1=O
CHEBI:32	(+)-N-methylconiine	A piperidine that is (+)-coniine bering an N-methyl substituent.	3	CUBHREGSQFAWDJ-VIFPVBQESA-N	CCC[C@H]1CCCCN1C
CHEBI:36	(+)-norephedrine	An amphetamine that is propylbenzene substituted by a hydroxy group at position 1 and by an amino group at position 2 (the 1S,2R-stereoisomer).	3	DLNKOYKMWOXYQA-VXNVDRBHSA-N	C[C@@H](N)[C@@H](O)c1ccccc1
CHEBI:40	(+)-pinoresinol	An enantiomer of pinoresinol having (+)-1S,3aR,4S,6aR-configuration.	3	HGXBRUKMWQGOIE-AFHBHXEDSA-N	[H][C@]12CO[C@H](c3ccc(O)c(OC)c3)[C@@]1([H])CO[C@@H]2c1ccc(O)c(OC)c1
