standard_inchi_key	compound_name	taxon_id	taxon_label	strain	field_sample	nmr_used	reference
BEUWKFSFCQGVEY-QJQSJIDVSA-N	Ambiguine D isonitrile	NCBITaxon:56108	Fischerella ambigua	UTEX 1903		yes	DOI:10.1021/jo00029a014
BVPWTFZHTABZAH-IXKBYUEASA-N	Minutissamide B	NCBITaxon:2303152	Anabaena minutissima	UTEX 1613		yes	PMID:21699148
CBNJGGAGZSSENK-UHFFFAOYSA-N	Tjipanazol M	NCBITaxon:56108	Fischerella ambigua	n.a.		yes	DOI:10.1002/cbic.202000025
CFXBLGFMQUFLKS-FUEDQDKVSA-N	Patellamide C	NCBITaxon:1216	Prochloron didemni	n.a.	collected in the Republic of Palau in 2002 (ref_2), Cyanobacterial symbiont of the the marine ascidian Lissoclinum patella (Ref_1)	Yes	DOI:10.1021/jo00349a002
DIAQQISRBBDJIM-DRSCAGMXSA-N	MC-LA	NCBITaxon:1126	Microcystis aeruginosa	B2666		yes	DOI:10.1039/p19840002311
DMFUPHMBLSJHNR-ONGXEEELSA-N	Tenuecyclamide C	NCBITaxon:503013	Nostoc spongiaeforme	TAU IL-184-6		yes	PMID:9784161
DOUNUINZQIVRLP-FMWAKIAMSA-N	Luminaolide B	NCBITaxon:1678308	Planktothrix paucivesiculata	PCC 9631	marine coral-consortium	no	DOI:10.1038/nchembio.1870
DULVYLSIPPATMK-VHNJGLBFSA-N	Desmamide C	NCBITaxon:1179	Desmonostoc muscorum	LEGE12446		Yes	DOI:10.1021/acs.jnatprod.2c00162
DYJREVOKIDWZEE-UHFFFAOYSA-N	Tjipanazol L	NCBITaxon:56108	Fischerella ambigua	n.a.		yes	DOI:10.1002/cbic.202000025
FDEFKOBGABILIC-XQHQYKGYSA-N	Ambiguine C isonitrile	NCBITaxon:56108	Fischerella ambigua	UTEX 1903		yes	DOI:10.1021/jo00029a014
FIBARFWLQNLEOK-LYMHVENWSA-N	Scytocyclamide B3	NCBITaxon:1342289	Scytonema hofmannii	PCC 7110	Crystal Cave, limestone, Bermuda, UK	no	DOI:10.1101/2020.05.29.098152
FVCCCELSDGJJMK-QYBUPKPRSA-N	Cylindrocyclophane E	NCBITaxon:184932	Cylindrospermum licheniforme	n.a.		yes	DOI:10.1016/S0040-4020(01)92244-6
GCEYOMBDTZKZAO-PKNULQPYSA-N	Ambiguine L isonitrile	NCBITaxon:56108	Fischerella ambigua	UTEX 1903		yes	DOI:10.1021/np800751j
GHYIJWADNLIVDB-UMIISBCRSA-N	Ambiguine A isonitrile	NCBITaxon:56108	Fischerella ambigua	UTEX 1903		yes	DOI:10.1021/jo00029a014
GNEMRCVXTBTWCG-NBJYBXKZSA-N	Spumigin E	NCBITaxon:70799	Nodularia spumigena	AV1, CCY9414		no	PMID:19691450
GQILAPOESMOZJI-UHFFFAOYSA-N	Microginin 755	NCBITaxon:1126	Microcystis aeruginosa	LEGE 91341		no	DOI:10.1021/acssynbio.2c00389
HKDUHJNLZOVWHW-UHFFFAOYSA-N	Microginin 803	NCBITaxon:1126	Microcystis aeruginosa	LEGE 91341		no	DOI:10.1021/acssynbio.2c00389
HOBULLUHJKDCFY-YBOMPZLVSA-N	Desmamide B	NCBITaxon:1179	Desmonostoc muscorum	LEGE12446		Yes	DOI:10.1021/acs.jnatprod.2c00162
HZHLPFLQTJCCHS-HFAMINCGSA-N	Minutissamide C	NCBITaxon:2303152	Anabaena minutissima	UTEX 1613		yes	PMID:21699148
IJEJDCXOVNHHAX-CMWLGVBASA-N	12-epi-hapalindole E	NCBITaxon:162986	Hapalosiphon welwitschii	UTEX B 1830		no	DOI:10.1002/cbic.201300794
IKGQCCPKYXSKJK-UHFFFAOYSA-N	Microginin 721	NCBITaxon:1126	Microcystis aeruginosa	LEGE 91341		no	DOI:10.1021/acssynbio.2c00389
