standard_inchi_key	organism_name	taxon_id	organism_wikidata	reference_doi	structure_wikidata
AABWXKZJSNWRSH-URPQZBFOSA-N	Pyricularia oryzae	NCBITaxon:1274781	http://www.wikidata.org/entity/Q80973031	10.1080/00021369.1988.10869040	http://www.wikidata.org/entity/Q104907810
AABWXKZJSNWRSH-URPQZBFOSA-N	Pyricularia grisea	NCBITaxon:148305	http://www.wikidata.org/entity/Q21398162	10.1080/00021369.1988.10869040	http://www.wikidata.org/entity/Q104907810
AABWXKZJSNWRSH-URPQZBFOSA-N	Magnaporthe grisea	NCBITaxon:148305	http://www.wikidata.org/entity/Q2697099	10.1080/00021369.1988.10869040	http://www.wikidata.org/entity/Q104907810
AABWXKZJSNWRSH-URPQZBFOSA-N	Kali collinum	NCBITaxon:2116407	http://www.wikidata.org/entity/Q1652109	10.1007/S10600-011-9896-2	http://www.wikidata.org/entity/Q104907810
AABWXKZJSNWRSH-URPQZBFOSA-N	Penicillium crustosum	NCBITaxon:36656	http://www.wikidata.org/entity/Q7162859	10.1021/JACS.9B00110	http://www.wikidata.org/entity/Q104907810
AABWXKZJSNWRSH-URPQZBFOSA-N	Chaetomium	NCBITaxon:5149	http://www.wikidata.org/entity/Q3665729	10.1042/BJ0302194	http://www.wikidata.org/entity/Q104907810
AABWXKZJSNWRSH-URPQZBFOSA-N	Salsola collina	NCBITaxon:525237	http://www.wikidata.org/entity/Q15226213	10.1007/S10600-011-9896-2	http://www.wikidata.org/entity/Q104907810
AABWXKZJSNWRSH-URPQZBFOSA-N	Penicillium solitum	NCBITaxon:60172	http://www.wikidata.org/entity/Q15020954	10.1021/JACS.9B00110	http://www.wikidata.org/entity/Q104907810
AABZZWPMCAZHFC-UHFFFAOYSA-N	Streptomyces	NCBITaxon:1883	http://www.wikidata.org/entity/Q1144013	10.1073/PNAS.1110435108	http://www.wikidata.org/entity/Q75064540
AABZZWPMCAZHFC-UHFFFAOYSA-N	Streptomyces	NCBITaxon:1883	http://www.wikidata.org/entity/Q1144013	10.7164/ANTIBIOTICS.48.1304	http://www.wikidata.org/entity/Q75064540
AAGAYZNADYXWIQ-ATACATFBSA-N	Nostoc	NCBITaxon:1177	http://www.wikidata.org/entity/Q311257	10.1021/NP100352E	http://www.wikidata.org/entity/Q104907883
AAGAYZNADYXWIQ-ATACATFBSA-N	Cylindrospermum licheniforme	NCBITaxon:184932	http://www.wikidata.org/entity/Q67343879	10.1002/CHIN.199233298	http://www.wikidata.org/entity/Q104907883
AAGAYZNADYXWIQ-ATACATFBSA-N	Cylindrospermum licheniforme	NCBITaxon:184932	http://www.wikidata.org/entity/Q67343879	10.1016/S0040-4020(01)92244-6	http://www.wikidata.org/entity/Q104907883
AASPEXAITKEFPE-SEMUBUJISA-N	Streptomyces lividans	NCBITaxon:1916	http://www.wikidata.org/entity/Q68792845	10.1128/AEM.00668-10	http://www.wikidata.org/entity/Q83029444
AASPEXAITKEFPE-SEMUBUJISA-N	Streptomyces anthocyanicus	NCBITaxon:68174	http://www.wikidata.org/entity/Q22286907	10.1128/AEM.00668-10	http://www.wikidata.org/entity/Q83029444
