standard_inchi_key	smiles	pathway_results	superclass_results	class_results	is_glycoside	model_version
AABWXKZJSNWRSH-URPQZBFOSA-N	CC[C@H]1CC/C(=C\2/C(=O)[C@H](OC2=O)C)/O1	Polyketides	Cyclic polyketides	Phthalide derivatives	false	npclassifier.gnps2.org@2026-09-07
AABZZWPMCAZHFC-UHFFFAOYSA-N	CC1CC(O)N2C1C1=NC(=CS1)C1=NC(=CS1)C1=NC(=CC=C1C1=NC(=C(C)O1)C(=O)NC(CC(N)=O)C1=NC(=CS1)C(=O)NC(CC1=CC=CC=C1)C1=NC(CS1)C(=O)NC(CC1=CC=C(O)C=C1)C2=O)C1=NC(=CS1)C(=O)NC(=C)C(=O)NC(=C)C(O)=O	Amino acids and Peptides	Oligopeptides	RiPPs-Thiopeptides	false	npclassifier.gnps2.org@2026-09-07
AAGAYZNADYXWIQ-ATACATFBSA-N	CCCC[C@H]1CCCC[C@@H](CC2=CC(=C([C@H](CCCC[C@@H](CC3=CC(=C1C(=C3)O)O)C)CCCC)C(=C2)O)O)C	Polyketides	Alkylresorcinols	Dialkylresorcinols	false	npclassifier.gnps2.org@2026-09-07
AAGRATDORNCNQD-SDLACMQYSA-N	CC[C@H](C)CCCCC(=O)N[C@@H](CCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@H](CO)C(=O)N[C@H]1CCNC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@@H](NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)CC	Amino acids and Peptides	Oligopeptides	Cyclic peptides|Lipopeptides	false	npclassifier.gnps2.org@2026-09-07
AASPEXAITKEFPE-SEMUBUJISA-N	C[C@@H]1C[C@@H](C2=C(C1)C=CC3=C2C(=O)C4=C(C(=CC(=C4C3=O)OC)CC5=CC(=C6C(=C5O)C(=O)C7=C(C6=O)C=CC8=C7[C@H](C[C@H](C8)C)O)OC)O)O	Polyketides	Polycyclic aromatic polyketides	Angucyclines	false	npclassifier.gnps2.org@2026-09-07
AAUIGWGEXJDWSV-BJGZLQLRSA-N	CC1=CC(=O)[C@@]2(O)C3=CC=CC4=C3[C@H]3[C@@H]1[C@@H]2CN3C1=C2C4=C3C=C[C@@H](O)[C@H](O)C3=C3SC(=O)C(=C32)C=C1				false	npclassifier.gnps2.org@2026-09-07
ABGXHXAPJINIRD-DUFVVOHASA-N	C(CCCCCCCCCCCC)C(=O)N[C@H](CC(=O)N)C(N[C@H](CCC(CC(=O)N[C@]1(CC1)C(=O)CC(=O)NCC(=O)c1csc(C2C3(O)c4csc(CNC(=O)CC(=O)[C@]5(CC5)NC(=O)CC(CC[C@H](C)NC(=O)[C@@H](CC(=O)N)NC(=O)CCCCCCCCCCCCC)(O3)N=2)n4)n1)=O)C)=O	Amino acids and Peptides	Oligopeptides	Cyclic peptides|Lipopeptides	false	npclassifier.gnps2.org@2026-09-07
ABHHIGWFFMCQOC-UHFFFAOYSA-N	C1CCNC(=O)CCC(=O)NCCCCCN(C(=O)CCC(=O)NCCCCCN(C(=O)CCC(=O)NCC1)O)O	Amino acids and Peptides	Oligopeptides	Cyclic peptides	false	npclassifier.gnps2.org@2026-09-07
ABLACSIRCKEUOB-UHFFFAOYSA-N	CC1=CC(=C2C3=C4C(=CC(=C13)O)C(C(=O)C5=C(C=C(C(=C45)C2=O)O)O)(C)C)O	Polyketides	Polycyclic aromatic polyketides	Angucyclines	false	npclassifier.gnps2.org@2026-09-07
ABLCZPDNHVQCBP-VPWXQRGCSA-N	CC(=CCC1=CC2=C(C=C1)C(=CN2)C(=O)O[C@H]3[C@@H]([C@H](C=C(O3)C(=O)O)O)O)C				true	npclassifier.gnps2.org@2026-09-07
ABRCNJSDUYUPRX-YXTQZPCGSA-N	[H]C([H])CCC[C@H]1CCCC[C@H](C)[C@@H](O)C2=CC(O)=C([C@@H](CCCC([H])Br)CCCC[C@H](C)[C@@H](OC(N)=O)C3=CC(O)=C1C(O)=C3)C(O)=C2	Polyketides	Alkylresorcinols	Dialkylresorcinols	false	npclassifier.gnps2.org@2026-09-07
ABYMZHOAONVEQS-VROXFSQNSA-N	C/C=C\1/C(=O)N2CCCCC2C(=O)NC(C(=O)N(C(C(=O)OCC(C(=O)NC(C(=O)NC(C(=O)N3C(CC3C4=NC(CS4)C(=O)N1)C)CC(C)C)C)O)C(C)C)C)C(C)O	Amino acids and Peptides|Polyketides	Oligopeptides	Cyclic peptides|Depsipeptides	false	npclassifier.gnps2.org@2026-09-07
ABZGUBNFEGMGPE-MQNVTSSDSA-N	O=C(N1)C=CN([C@H]2[C@H](O)[C@H](O)[C@@H]([C@H](NC([C@@H](N)[C@H](O)[C@@H](O)COC(N)=O)=O)C(N([C@@H]/3C(O)=O)CC3=C/C)=O)O2)C1=O	Carbohydrates	Nucleosides	Pyrimidine nucleos(t)ides	false	npclassifier.gnps2.org@2026-09-07
ABZLAAWMNHBHEK-GCYRPIBMSA-N	CCCCCC1=NN(C(=O)CCOC(=O)[C@H](C)OC(=O)C/C=C/CCCCCCCCCl)O[C@H](CCCCC)C1				false	npclassifier.gnps2.org@2026-09-07
ACIYRAKJOKBQMD-RSLBSXAUSA-N	OC1=C(C2=O)C(NC1CCCNC(/C=C/C=C/[C@]([C@@]3([H])/C=C/2)([C@@]4([H])[C@@]([C@]5([H])[C@@]4([H])C[C@H](CC)[C@@H]5C)([H])C=C3)[H])=O)=O	Amino acids and Peptides|Polyketides	Macrolides	Macrocyclic tetramic acids	false	npclassifier.gnps2.org@2026-09-07
ACNHBCIZLNNLRS-UBGQALKQSA-N	CC(C)(O)[C@H]1O[C@H]2CC[C@@]3(C)[C@@](O)(CC[C@H]4CC5=C([NH]C6=CC=CC=C56)[C@@]43C)C2=CC1=O	Alkaloids|Terpenoids	Tryptophan alkaloids	Indole-Diterpenoid alkaloids (Penitrems)	false	npclassifier.gnps2.org@2026-09-07
ACSDUXDWMODDMW-QWICZQNUSA-N	C=C(NC(=O)C(=C)NC(=O)C1=CC=C(C2=NC(C(=O)N[C@H](C(N)=O)[C@@H](C)O)=CS2)C(C2=COC(C(=C)NC(=O)C(=C)NC(=O)C3=C(C)OC(C(=C)NC(=O)[C@@H](NC(=O)C(=C)NC(=O)C4=C(C)OC(C(=O)CC)=N4)C(C)(C)O)=N3)=N2)=N1)C(N)=O	Alkaloids	Peptide alkaloids	Simple amide alkaloids	false	npclassifier.gnps2.org@2026-09-07
ACTOXUHEUCPTEW-JMRHEKERSA-N	C[C@@H]1C/C=C/C=C/[C@@H]([C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)OC)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)O)(C)O)N(C)C)O)CC=O)C)OC4CCC(C(O4)C)N(C)C	Polyketides	Macrolides	Erythromycins|Tylosins	true	npclassifier.gnps2.org@2026-09-07
ADBVWUJBUGOHJH-UHFFFAOYSA-N	COC(=O)C1=C(C(=CN1)C1=CNC2=C1C=C(Cl)C=C2)C1=CNC2=C1C=C(Cl)C=C2	Alkaloids	Proline alkaloids|Tryptophan alkaloids	Pyrrole alkaloids|Simple indole alkaloids	false	npclassifier.gnps2.org@2026-09-07
ADNHOQYEDVQAGD-XYFJCUIBSA-N	[H][C@](C)(CC)[C@]([H])(NC(=O)[C@H]1CCCCN1C)C(=O)N(COC(C)=O)[C@H](C[C@@H](OC(C)=O)C1=NC(=CS1)C(=O)N[C@H](C[C@H](C)C(O)=O)CC1=CC=C(O)C=C1)C(C)C	Amino acids and Peptides	Oligopeptides	Linear peptides	false	npclassifier.gnps2.org@2026-09-07
ADOBXTDBFNCOBN-UHFFFAOYSA-N	CCCCCCCCCCCCCCCC=C	Fatty acids	Fatty acyls	Hydrocarbons	false	npclassifier.gnps2.org@2026-09-07
ADPQVXWEVQETCB-UHFFFAOYSA-N	[C]=NC1C2c3c([nH]c4ccccc34)C(C)(C)C2CC(Cl)C1(C)C=C	Alkaloids	Tryptophan alkaloids	Hapalindole alkaloids	false	npclassifier.gnps2.org@2026-09-07
ADTVCAUSELVFML-UHFFFAOYSA-N	CCCCCCCC1=C2C(=CC(=C1C(=O)O)O)OC(=O)C3=C(O2)C=C(C=C3C)OC	Polyketides	Aromatic polyketides	Depsidones	false	npclassifier.gnps2.org@2026-09-07
AECZOENDDUTONS-PWSPGYJUSA-N	CC1C/C=C/C2C(C(=C)C(C3C2(C(/C=C/C(C1)(C)O)OC(=O)C)C(=O)NC3CC4=CC=C(C=C4)OC)C)O	Alkaloids	Pseudoalkaloids	Cytochalasan alkaloids	false	npclassifier.gnps2.org@2026-09-07
AEIFATUAVHHRBC-GYPCSUJESA-N	C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@@H]2[C@H](OC3(C[C@H]2O)O[C@@H]4[C@H](O[C@H](C[C@]4(O3)C)O[C@@H]5[C@H]([C@@H](O[C@@H]([C@@H]5OC)C)O[C@@H]6[C@H](O[C@H]([C@H]([C@H]6O)OC)O[C@H]7[C@@H]([C@H]8[C@H](CO7)O[C@@]9(O8)[C@H]1[C@H]([C@@]([C@H](O9)C)(C(C)O)O)OCO1)OC(=O)C(C)C)COC)O)C)C)O)OC(=O)C1=C(C(=C(C(=C1OC)Cl)O)Cl)C	Carbohydrates	Saccharides	Orthosomycins	true	npclassifier.gnps2.org@2026-09-07
AEMANCFFPKYKRB-UHFFFAOYSA-N	CC(CC(NC(CN)=O)C(NC(P(O)(OC)=O)=C)=O)C	Amino acids and Peptides	Small peptides	Tripeptides	false	npclassifier.gnps2.org@2026-09-07
AENZSPQGLJVLND-VWYCJHECSA-N	CCCCCC[C@@H]1[C@H]2[C@H](C(=C)C(=O)O2)C(=O)O1	Polyketides			false	npclassifier.gnps2.org@2026-09-07
AETFMNMHSCDWEO-UHFFFAOYSA-N	COC1=C(O)C=C2C(=O)C3=C(O)C4=C(CCC5=C4C(O)=C4C(=O)NC(C)=CC4=C5)C(O)=C3OC2=C1	Polyketides	Polycyclic aromatic polyketides	Ericamycins	false	npclassifier.gnps2.org@2026-09-07
AFAZQKILLUAQTN-MLBASFLNSA-N	C[C@H]([C@H](NC1=S)C2=NC([C@@H](N3)[C@](C4=NC(C(N[C@@](C(N/C(C5=N[C@@H](C(N[C@](C(C)(O)[C@@H](C)O)([H])C6=NC1=CS6)=O)CS5)=C\C)=O)([H])[C@@H](C)O)=O)=CS4)(NC([C@H](C)NC(C(NC([C@H](C)NC([C@H]([C@@H](CC)C)N[C@@H]7C=CC8=C(N=C9C=C8[C@@H](O)C)[C@H]7O)=O)=O)=C)=O)=O)CC[C@@H]3C%10=NC(C(NC(C(NC(C(N)=O)=C)=O)=C)=O)=CS%10)=CS2)OC9=O	Amino acids and Peptides	Oligopeptides	RiPPs-Thiopeptides	false	npclassifier.gnps2.org@2026-09-07
AFBSGQPOTIOCSW-UHFFFAOYSA-N	CCCCCCCCCC(O)CC(=O)NC1COC(=O)C(COC(=O)C(COC(=O)C(COC1=O)NC(=O)C1=CC=CC(O)=C1O)NC(=O)C1=CC=CC(O)=C1O)NC(=O)C1=CC=CC(O)=C1O	Polyketides			false	npclassifier.gnps2.org@2026-09-07
