standard_inchi_key	cid	aid	assay_name	assay_type	depositor	activity_outcome	activity_name	activity_value_um	target_accession	reference
ABLACSIRCKEUOB-UHFFFAOYSA-N	5282060		(no assay data)							
ABLCZPDNHVQCBP-VPWXQRGCSA-N	123132247		(no assay data)							
ABYMZHOAONVEQS-VROXFSQNSA-N	58351276		(no assay data)							
ADTVCAUSELVFML-UHFFFAOYSA-N	101679241		(no assay data)							
AECZOENDDUTONS-PWSPGYJUSA-N	6442793		(no assay data)							
AEIFATUAVHHRBC-GYPCSUJESA-N	20055307		(no assay data)							
AFSTYHWLXPLSTJ-UHFFFAOYSA-N	102196435		(no assay data)							
AGJUUQSLGVCRQA-PJEYIJQRSA-N	60196306	1645886	Validation qHTS for antagonist of cAMP-regulated guanine nucleotide exchange factor 4 (EPAC2)	Confirmatory	NCGC	Inactive	Potency	3.1623		
AGJUUQSLGVCRQA-PJEYIJQRSA-N	60196306	1645886	Validation qHTS for antagonist of cAMP-regulated guanine nucleotide exchange factor 4 (EPAC2)	Confirmatory	NCGC	Inactive	Potency	3.1623	Q8WZA2	
AGJUUQSLGVCRQA-PJEYIJQRSA-N	60196306	1645887	Validation qHTS for agonist of cAMP-regulated guanine nucleotide exchange factor 4 (EPAC2)	Confirmatory	NCGC	Inactive	Potency	1.122		
AGJUUQSLGVCRQA-PJEYIJQRSA-N	60196306	1645887	Validation qHTS for agonist of cAMP-regulated guanine nucleotide exchange factor 4 (EPAC2)	Confirmatory	NCGC	Inactive	Potency	1.122	Q8WZA2	
AGJUUQSLGVCRQA-PJEYIJQRSA-N	60196306	1845192	Primary qHTS Assay for Inhibitors of Recombinant Selenoprotein Glutathione Peroxidase 4 (GPX4)	Confirmatory	NCGC	Inconclusive	Potency	22.3872		
AGJUUQSLGVCRQA-PJEYIJQRSA-N	60196306	1845192	Primary qHTS Assay for Inhibitors of Recombinant Selenoprotein Glutathione Peroxidase 4 (GPX4)	Confirmatory	NCGC	Inconclusive	Potency	22.3872	P36969	
AGJUUQSLGVCRQA-PJEYIJQRSA-N	60196306	720532	qHTS for Inhibitors of binding or entry into cells for Marburg Virus	Confirmatory	NCGC	Active	Potency	15.8489	B45705	
AGJUUQSLGVCRQA-PJEYIJQRSA-N	60196306	743035	qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway	Confirmatory	824	Inconclusive	Potency	0.0076	AAI32976	
AGJUUQSLGVCRQA-PJEYIJQRSA-N	60196306	743064	qHTS assay to identify small molecule antagonists of the thyroid receptor (TR) signaling pathway - cell viability counter screen	Confirmatory	824	Inconclusive	Potency	0.266		
AGJUUQSLGVCRQA-PJEYIJQRSA-N	60196306	743075	qHTS assay to identify small molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway	Confirmatory	824	Inactive	Potency	15.089	AEP43755	
AHDUXXXZGSWYHF-IXGGKXOYSA-N	25220882		(no assay data)							
AINNQKIVZOTQBB-KGLIPLIRSA-N	146354		(no assay data)							
AJZNARCWDDMOPL-WMZOPIPTSA-N	128363		(no assay data)							
AKFVOKPQHFBYCA-UHFFFAOYSA-N	16130049		(no assay data)							
AKKGAIKLKJWDBP-WECLKIJSSA-N	139591392		(no assay data)							
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1117298	qHTS Assay for Identifying Compounds that block Entry of Ebola Virus, Screen 2 green channel	Confirmatory	NCGC	Inactive	AC50	2.8184		
