old_taxon_id	new_taxon_id	requested_by
NCBITaxon:57	NCBITaxon:3409587	chebi_origins
NCBITaxon:330	NCBITaxon:301	lotus
NCBITaxon:706	NCBITaxon:28171	chebi_origins
NCBITaxon:746	NCBITaxon:75985	chebi_origins
NCBITaxon:1172	NCBITaxon:264691	lotus
NCBITaxon:1900	NCBITaxon:1961	lotus
NCBITaxon:2832	NCBITaxon:2081491	lotus
NCBITaxon:3203	NCBITaxon:463575	chebi_origins
NCBITaxon:3887	NCBITaxon:3853	lotus
NCBITaxon:4171	NCBITaxon:46034	chebi_origins
NCBITaxon:4790	NCBITaxon:4792	chebi_origins,lotus
NCBITaxon:5043	NCBITaxon:159075	lotus
NCBITaxon:5045	NCBITaxon:2046025	chebi_origins
NCBITaxon:5071	NCBITaxon:5052	lotus
NCBITaxon:5106	NCBITaxon:1036719	lotus
NCBITaxon:5306	NCBITaxon:2822231	chebi_origins
NCBITaxon:5380	NCBITaxon:85973	lotus
NCBITaxon:5421	NCBITaxon:264483	lotus
NCBITaxon:5456	NCBITaxon:5467	lotus
NCBITaxon:5532	NCBITaxon:1859699	chebi_origins,lotus
NCBITaxon:5749	NCBITaxon:2511165	lotus
NCBITaxon:6071	NCBITaxon:3292564	chebi_origins,lotus
NCBITaxon:6530	NCBITaxon:2315439	lotus
NCBITaxon:8401	NCBITaxon:45623	lotus
NCBITaxon:10044	NCBITaxon:3774379	chebi_origins
NCBITaxon:13007	NCBITaxon:146543	chebi_origins,lotus
NCBITaxon:13349	NCBITaxon:2813651	chebi_origins,lotus
NCBITaxon:13481	NCBITaxon:2775048	lotus
NCBITaxon:15958	NCBITaxon:40552	lotus
NCBITaxon:16614	NCBITaxon:4335	lotus
NCBITaxon:23810	NCBITaxon:2768810	chebi_origins
NCBITaxon:27314	NCBITaxon:43987	lotus
NCBITaxon:28519	NCBITaxon:2726413	lotus
NCBITaxon:28575	NCBITaxon:1266744	chebi_origins
NCBITaxon:29570	NCBITaxon:77097	lotus
NCBITaxon:29728	NCBITaxon:2982281	lotus
NCBITaxon:33009	NCBITaxon:67345	lotus
NCBITaxon:33177	NCBITaxon:119933	lotus
NCBITaxon:33619	NCBITaxon:704177	lotus
NCBITaxon:34223	NCBITaxon:3002920	lotus
NCBITaxon:34467	NCBITaxon:2075311	chebi_origins,lotus
NCBITaxon:34468	NCBITaxon:1001332	chebi_origins,lotus
NCBITaxon:34647	NCBITaxon:1879292	chebi_origins
NCBITaxon:35183	NCBITaxon:2765380	lotus
NCBITaxon:35758	NCBITaxon:67581	lotus
NCBITaxon:37480	NCBITaxon:67362	chebi_origins,lotus
NCBITaxon:38483	NCBITaxon:1436886	lotus
NCBITaxon:39866	NCBITaxon:269079	lotus
NCBITaxon:40263	NCBITaxon:2082540	lotus
NCBITaxon:40433	NCBITaxon:2028083	chebi_origins,lotus
NCBITaxon:40474	NCBITaxon:108904	lotus
NCBITaxon:40620	NCBITaxon:5506	lotus
NCBITaxon:41409	NCBITaxon:1405805	chebi_origins
NCBITaxon:41465	NCBITaxon:362626	chebi_origins
NCBITaxon:41504	NCBITaxon:2950952	lotus
NCBITaxon:41717	NCBITaxon:5052	chebi_origins
NCBITaxon:41728	NCBITaxon:1810909	lotus
NCBITaxon:43357	NCBITaxon:47990	chebi_origins,lotus
NCBITaxon:44095	NCBITaxon:419781	lotus
NCBITaxon:45276	NCBITaxon:2710536	lotus
NCBITaxon:45996	NCBITaxon:264951	chebi_origins
NCBITaxon:46399	NCBITaxon:228393	chebi_origins
NCBITaxon:47257	NCBITaxon:97331	lotus
NCBITaxon:47358	NCBITaxon:304759	chebi_origins
NCBITaxon:47431	NCBITaxon:1929756	chebi_origins,lotus
NCBITaxon:47657	NCBITaxon:3064095	chebi_origins,lotus
NCBITaxon:47794	NCBITaxon:1934371	chebi_origins
NCBITaxon:47967	NCBITaxon:2099523	lotus
NCBITaxon:48038	NCBITaxon:2849586	chebi_origins
NCBITaxon:48122	NCBITaxon:149639	chebi_origins
NCBITaxon:49555	NCBITaxon:3420723	chebi_origins
NCBITaxon:50328	NCBITaxon:872793	lotus
NCBITaxon:50340	NCBITaxon:53407	chebi_origins,lotus
NCBITaxon:51936	NCBITaxon:324740	lotus
NCBITaxon:52970	NCBITaxon:3034	lotus
NCBITaxon:53027	NCBITaxon:3062406	lotus
NCBITaxon:53029	NCBITaxon:2729092	lotus
