organism_name	taxon_id	name_class	requested_by
Aaptos ciliata	NCBITaxon:1451273	scientific name	lotus
Abies sachalinensis var. mayriana	NCBITaxon:1316782	scientific name	lotus
Abraxas grossulariata	NCBITaxon:1007343	scientific name	lotus
Abuta grisebachii	NCBITaxon:3721355	scientific name	lotus
Abuta velutina	NCBITaxon:3721365	scientific name	lotus
Abutilon pakistanicum	NCBITaxon:2983345	scientific name	chebi_origins,lotus
Abutilon persicum	NCBITaxon:3721561	scientific name	lotus
Acacia angustissima	NCBITaxon:468212	synonym	lotus
Acacia aroma	NCBITaxon:207708	synonym	lotus
Acacia berlandieri	NCBITaxon:138013	synonym	lotus
Acacia burrowii	NCBITaxon:3083471	scientific name	lotus
Acacia conniana	NCBITaxon:3083475	scientific name	lotus
Acacia crombiei	NCBITaxon:3723625	scientific name	lotus
Acacia curvinervia	NCBITaxon:3083478	synonym	lotus
Acacia cyanophylla	NCBITaxon:420411	synonym	lotus
Acacia gracillima	NCBITaxon:1174803	synonym	lotus
Acacia granitica	NCBITaxon:3083494	scientific name	lotus
Acacia jacquemontii	NCBITaxon:1117634	synonym	chebi_origins
Acacia lanigera	NCBITaxon:3083503	scientific name	lotus
Acacia mollissima	NCBITaxon:383656	synonym	lotus
Acacia montana	NCBITaxon:698353	synonym	lotus
Acacia polyacantha	NCBITaxon:875646	synonym	lotus
Acacia rhodoxylon	NCBITaxon:3723773	scientific name	lotus
Acacia sieberiana	NCBITaxon:546664	synonym	lotus
Acacia sieberiana var. woodii	NCBITaxon:875656	synonym	lotus
Acalycigorgia inermis	NCBITaxon:89600	synonym	lotus
Acalypha spiciflora	NCBITaxon:571376	synonym	lotus
Acanthopanax	NCBITaxon:50304	synonym	lotus
Acanthophyllum gypsophiloides	NCBITaxon:2603720	synonym	lotus
Acanthospermum glabratum	NCBITaxon:3727407	scientific name	lotus
Acer duplicatoserratum	NCBITaxon:2972750	scientific name	lotus
Acer ginnala	NCBITaxon:57656	synonym	lotus
Acer leucoderme	NCBITaxon:407037	synonym	lotus
Acer maximowiczianum	NCBITaxon:171213	synonym	lotus
Acer nigrum	NCBITaxon:291207	synonym	lotus
Achillea ageratifolia	NCBITaxon:3378255	scientific name	lotus
Achillea alexandri-regis	NCBITaxon:3727491	scientific name	lotus
Achillea barrelieri	NCBITaxon:3727498	scientific name	lotus
Achillea ceretanica	NCBITaxon:282724	synonym	lotus
Achillea chrysocoma	NCBITaxon:3378251	scientific name	lotus
Achillea conferta	NCBITaxon:3727505	scientific name	lotus
Achillea cucullata	NCBITaxon:3727506	scientific name	lotus
Achillea cuneatiloba	NCBITaxon:3727507	scientific name	lotus
Achillea eriophora	NCBITaxon:3727509	scientific name	lotus
Achillea glaberrima	NCBITaxon:3727511	scientific name	lotus
Achillea goniocephala	NCBITaxon:3727512	scientific name	lotus
Achillea kotschyi	NCBITaxon:3727520	scientific name	lotus
Achillea lingulata	NCBITaxon:3727523	scientific name	lotus
Achillea lycaonica	NCBITaxon:3727524	scientific name	lotus
Achillea magnifica	NCBITaxon:3727525	scientific name	lotus
Achillea odorata	NCBITaxon:1532235	scientific name	chebi_origins,lotus
Achillea phrygia	NCBITaxon:3727534	scientific name	lotus
Achillea roseo-alba	NCBITaxon:282763	synonym	lotus
Achillea santolinoides	NCBITaxon:3727536	scientific name	lotus
Achillea sintenisii	NCBITaxon:3727540	scientific name	lotus
Achillea sipikorensis	NCBITaxon:3727541	scientific name	lotus
Achillea talagonica	NCBITaxon:3727545	scientific name	lotus
Achillea tomentosa	NCBITaxon:1532236	scientific name	lotus
Achillea tuzsonii	NCBITaxon:3727549	scientific name	lotus
Achyranthes ferruginea	NCBITaxon:327016	synonym	lotus
Acinos alpinus	NCBITaxon:224743	synonym	lotus
Acmella alba	NCBITaxon:3026879	scientific name	lotus
Acmella ciliata	NCBITaxon:3122487	scientific name	lotus
Acokanthera laevigata	NCBITaxon:3739633	scientific name	lotus
Aconitum anglicum	NCBITaxon:3739649	scientific name	lotus
Aconitum carmichaeli	NCBITaxon:85363	synonym	lotus
Aconitum cochleare	NCBITaxon:3739675	scientific name	lotus
Aconitum dolichorhynchum	NCBITaxon:3739684	scientific name	lotus
Aconitum fischeri	NCBITaxon:1111064	scientific name	lotus
Aconitum lamarckii	NCBITaxon:1532241	scientific name	lotus
Aconitum lethale	NCBITaxon:3463886	scientific name	lotus
Aconitum macrorhynchum	NCBITaxon:3038291	scientific name	lotus
Aconitum miyabei	NCBITaxon:3739727	scientific name	lotus
Aconitum noveboracense	NCBITaxon:157970	synonym	lotus
Aconitum orochryseum	NCBITaxon:3739734	scientific name	lotus
Aconitum pseudostapfianum	NCBITaxon:3739744	scientific name	lotus
Aconitum raddeanum	NCBITaxon:3739746	scientific name	lotus
Aconitum turczaninowii	NCBITaxon:3739771	scientific name	lotus
Aconitum vulparia	NCBITaxon:516012	synonym	lotus
Aconogonon coriarium	NCBITaxon:457182	synonym	lotus
Acorus calamus var. americanus	NCBITaxon:263995	scientific name	lotus
Acourtia carpholepis	NCBITaxon:3739794	scientific name	lotus
Acourtia cuernavacana	NCBITaxon:3739797	scientific name	lotus
Acourtia longifolia	NCBITaxon:3739823	scientific name	lotus
Acourtia mexicana	NCBITaxon:3739828	scientific name	lotus
Acourtia thurberi	NCBITaxon:3739856	scientific name	lotus
Acremonium byssoides	NCBITaxon:132112	synonym	lotus
Acremonium murorum	NCBITaxon:1036750	synonym	lotus
Acremonium obclavatum	NCBITaxon:132114	synonym	lotus
Acremonium polychromum	NCBITaxon:1036751	scientific name	lotus
Acremonium strictum	NCBITaxon:5046	synonym	lotus
Acridocarpus vivy	NCBITaxon:3739918	scientific name	lotus
Acripeza reticulata	NCBITaxon:3398054	scientific name	lotus
Acritopappus morii	NCBITaxon:3739931	scientific name	lotus
Acritopappus prunifolius	NCBITaxon:3739934	scientific name	lotus
Acritopappus teixeirae	NCBITaxon:3739936	scientific name	lotus
Acronychia aberrans	NCBITaxon:3739964	scientific name	lotus
Acroptilon repens	NCBITaxon:41466	synonym	lotus
Actinidia chinensis var. deliciosa	NCBITaxon:3627	synonym	lotus
Actinodaphne speciosa	NCBITaxon:3740117	scientific name	lotus
Actinostemma lobatum	NCBITaxon:1635145	scientific name	lotus
Actinostrobus acuminatus	NCBITaxon:103962	synonym	lotus
Actinostrobus pyramidalis	NCBITaxon:214228	synonym	lotus
Adelanthus decipiens	NCBITaxon:402628	synonym	lotus
Adenia reticulata	NCBITaxon:3740567	scientific name	lotus
